firstName	lastName	affiliation	fullName	match
Arvin	Daneshmand	University of Florida, Department of Medicine, Division of Internal Medicine, Gainesville, FL.	Arvin Daneshmand	False
Vanessa I	Rodriguez	University of South Florida, Department of Internal Medicine, Tampa, FL.	Vanessa I Rodriguez	False
Steve	Qian	University of Florida, Department of Medicine, Division of Gastroenterology, Hepatology & Nutrition, Gainesville, FL.	Steve Qian	False
Dan	Neal	University of Florida, Department of Medicine, Division of Internal Medicine, Gainesville, FL.	Dan Neal	False
S Devi	Rampertab	University of Florida, Department of Medicine, Division of Gastroenterology, Hepatology & Nutrition, Gainesville, FL.	S Devi Rampertab	False
Ellen M	Zimmermann	University of Florida, Department of Medicine, Division of Gastroenterology, Hepatology & Nutrition, Gainesville, FL.	Ellen M Zimmermann	True
Amir Y	Kamel	University of Florida Health Shands Hospital, Department of Pharmacy, Gainesville, FL.	Amir Y Kamel	False
Alexandros	Toskas	Histology, Aristotle University of Thessaloniki, Thessaloniki, GRC.	Alexandros Toskas	False
Stephanos	Milias	Histopathology, Private Histopathology Laboratory, Thessaloniki, GRC.	Stephanos Milias	False
Georgios	Delis	Veterinary Medicine, Aristotle University of Thessaloniki, Thessaloniki, GRC.	Georgios Delis	True
Soultana	Meditskou	Histology and Embryology, Aristotle University of Thessaloniki, Thessaloniki, GRC.	Soultana Meditskou	False
Antonia	Sioga	Histology and Embryology, Aristotle University of Thessaloniki, Thessaloniki, GRC.	Antonia Sioga	False
Sofia	Karachrysafi	"Histology and Embryology, Aristotle University of Thessaloniki, Thessaloniki, GRC., Medicine, ""George Papanikolaou"" General Hospital of Thessaloniki, Thessaloniki, GRC."	Sofia Karachrysafi	False
Theodora	Papamitsou	Histology and Embryology, Aristotele University of Thessaloniki, Thessaloniki, GRC.	Theodora Papamitsou	False
Jiejie	Zhu	Department of Gastroenterology, The First Affiliated Hospital of Anhui Medical University, Hefei City, Anhui Province, People's Republic of China., Key Laboratory of Digestive Diseases of Anhui Province, Hefei, People's Republic of China.	Jiejie Zhu	False
Yumei	Wu	Department of Gastroenterology, The First Affiliated Hospital of Anhui Medical University, Hefei City, Anhui Province, People's Republic of China., Key Laboratory of Digestive Diseases of Anhui Province, Hefei, People's Republic of China.	Yumei Wu	False
Xiaoyuan	Ge	Department of Gastroenterology, The First Affiliated Hospital of Anhui Medical University, Hefei City, Anhui Province, People's Republic of China., Key Laboratory of Digestive Diseases of Anhui Province, Hefei, People's Republic of China.	Xiaoyuan Ge	True
Xinwen	Chen	Department of Gastroenterology, The First Affiliated Hospital of Anhui Medical University, Hefei City, Anhui Province, People's Republic of China., Key Laboratory of Digestive Diseases of Anhui Province, Hefei, People's Republic of China.	Xinwen Chen	True
Qiao	Mei	Department of Gastroenterology, The First Affiliated Hospital of Anhui Medical University, Hefei City, Anhui Province, People's Republic of China., Key Laboratory of Digestive Diseases of Anhui Province, Hefei, People's Republic of China.	Qiao Mei	False
Jilei	Li	Digestive Disease Center, Beijing Hospital of Traditional Chinese Medicine, Capital Medical University, Beijing, 100010, People's Republic of China.	Jilei Li	False
Wenchao	Dan	Department of Dermatology, Beijing Hospital of Traditional Chinese Medicine, Capital Medical University, Beijing, 100010, People's Republic of China.	Wenchao Dan	False
Chenchen	Zhang	Beijing University of Chinese Medicine, Beijing, 100029, People's Republic of China.	Chenchen Zhang	True
Nian	Liu	Beijing University of Chinese Medicine, Beijing, 100029, People's Republic of China.	Nian Liu	True
Yichong	Wang	Digestive Disease Center, Beijing Hospital of Traditional Chinese Medicine, Capital Medical University, Beijing, 100010, People's Republic of China.	Yichong Wang	False
Jixiang	Liu	Beijing University of Chinese Medicine, Beijing, 100029, People's Republic of China.	Jixiang Liu	True
Shengsheng	Zhang	Digestive Disease Center, Beijing Hospital of Traditional Chinese Medicine, Capital Medical University, Beijing, 100010, People's Republic of China.	Shengsheng Zhang	False
